LA.Code,LA.Name,Patient.Count,Patient.Count.QCOVID,Shielders_pct,Shielders_from_QCOVID_pct,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,before_after
E07000138,Lincoln,2885,,2.90536662000624,,2,1,3,2,East Midlands,99299,before
E06000037,West Berkshire,4600,,2.90312401388451,,10,5,9,5,South East,158450,before
E06000040,Windsor and Maidenhead,4395,,2.90248444743829,,10,5,10,5,South East,151422,before
E07000041,Exeter,3800,,2.89182298999277,,6,3,7,4,South West,131405,before
E06000039,Slough,4310,,2.8821912678298,,4,2,4,2,South East,149539,before
E07000240,St Albans,4275,,2.87971869695255,,10,5,10,5,East of England,148452,before
E09000031,Waltham Forest,7895,,2.85035543697628,,3,2,3,2,London,276983,before
E09000019,Islington,6865,,2.8313131271472,,2,1,2,1,London,242467,before
E07000103,Watford,2720,,2.81640556240099,,7,4,7,4,East of England,96577,before
E06000041,Wokingham,4700,,2.74662661656508,,10,5,10,5,South East,171119,before
E09000032,Wandsworth,9000,,2.72994476411761,,6,3,6,3,London,329677,before
E09000012+E09000001,Hackney and City of London,7910,,2.71969907956581,,,,,,London,290841,before
E09000007,Camden,7025,,2.60157242370264,,5,3,3,2,London,270029,before
E07000178,Oxford,3925,,2.5744964153827,,6,3,7,4,South East,152457,before
E09000030,Tower Hamlets,8135,,2.50504241789712,,2,1,1,1,London,324745,before
E06000060,Buckinghamshire,17810,,,,,,,,,,before
E09000018,Hounslow,29535,8875,10.8775315534964,30.0490942949044,4,2,4,2,London,271523,after
E09000009,Ealing,35615,15275,10.4196532536,42.8892320651411,4,2,3,2,London,341806,after
E08000012,Liverpool,51455,6910,10.3314579894868,13.429209989311,1,1,1,1,North West,498042,after
E09000005,Brent,33460,16240,10.146434950314,48.5355648535565,3,2,3,2,London,329771,after
E08000014,Sefton,27150,5155,9.82236532686951,18.9871086556169,2,1,2,1,North West,276410,after
E09000025,Newham,33825,21770,9.57851693691347,64.3606799704361,2,1,2,1,London,353134,after
E07000027,Barrow-in-Furness,6420,1260,9.57508687676177,19.6261682242991,1,1,2,1,North West,67049,after
E06000032,Luton,19270,9255,9.04474025120628,48.0280228334198,3,2,3,2,East of England,213052,after
