LA.Code,LA.Name,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,Patient.Count_before,Patient.Count_after,Patient.Count.QCOVID_before,Patient.Count.QCOVID_after,Shielders_pct_before,Shielders_pct_after,Shielders_from_QCOVID_pct_before,Shielders_from_QCOVID_pct_after,Patient.Count_diff,Shielders_pct_diff
E92000001,ENGLAND,,,,,,56286961,2269180,3803374,,1508223,4.03144877549882,6.75711378342135,,39.6548695973628,1534194,2.72566500792253
E07000082,Stroud,9,5,8,4,South West,119964,4835,7240,,2305,4.03037577940049,6.03514387649628,,31.8370165745856,2405,2.00476809709579
E07000037,High Peak,7,4,6,3,East Midlands,92666,3725,5425,,1635,4.01981309218052,5.85435866445082,,30.1382488479263,1700,1.8345455722703
E07000079,Cotswold,9,5,9,5,South West,89862,3580,5365,,1705,3.98388640359663,5.97026551823908,,31.780055917987,1785,1.98637911464245
E08000007,Stockport,5,3,5,3,North West,293423,11685,18445,,6540,3.98230540891477,6.28614662108969,,35.4567633505015,6760,2.30384121217492
E07000009,East Cambridgeshire,9,5,9,5,East of England,89840,3570,5435,,1780,3.97373107747106,6.04964381121995,,32.7506899724011,1865,2.07591273374889
E07000119,Fylde,7,4,7,4,North West,80780,3200,5200,,1980,3.96137657836098,6.43723693983659,,38.0769230769231,2000,2.47586036147561
E06000033,Southend-on-Sea,4,2,3,2,East of England,183125,7250,12865,,5570,3.95904436860068,7.02525597269625,,43.2957636999611,5615,3.06621160409556
E06000007,Warrington,5,3,5,3,North West,210014,8295,13095,,4640,3.94973668422105,6.23529859914101,,35.4333715158457,4800,2.28556191491996
E07000192,Cannock Chase,5,3,4,2,West Midlands,100762,3965,5870,,1870,3.93501518429567,5.82560886048312,,31.8568994889268,1905,1.89059367618745
E08000036,Wakefield,2,1,3,2,Yorkshire and The Humber,348312,13695,21705,,7870,3.93181974781231,6.23148211947909,,36.258926514628,8010,2.29966237166678
E08000028,Sandwell,1,1,1,1,West Midlands,328450,12905,26600,,13515,3.92906073983864,8.09864515146902,,50.8082706766917,13695,4.16958441163039
E06000058,"Bournemouth, Christchurch and Poole",6,3,5,3,South West,395331,15530,27020,,11265,3.92835370866439,6.83477895738002,,41.6913397483346,11490,2.90642524871563
E07000106,Canterbury,6,3,6,3,South East,165394,6490,9985,,3460,3.9239633844033,6.03709929017981,,34.6519779669504,3495,2.11313590577651
